Date	Price	Open	High	Low	Volume	Chg%
Nov 20, 2019	53.926	54.138	54.172	53.827	59.55K	-0.36%
Nov 19, 2019	54.122	54.483	54.903	54.113	58.47K	-0.64%
Nov 18, 2019	54.471	54.184	54.510	54.140	74.40K	0.56%
Nov 15, 2019	54.170	54.326	54.406	54.086	70.06K	-0.24%
Nov 14, 2019	54.300	54.451	54.504	54.182	68.93K	-0.24%
Nov 13, 2019	54.433	54.255	54.521	54.087	65.02K	0.37%
Nov 12, 2019	54.235	54.084	54.305	53.999	60.61K	0.29%
Nov 11, 2019	54.077	53.973	54.207	53.887	62.96K	0.26%
Nov 08, 2019	53.935	53.930	54.103	53.848	86.51K	0.03%
Nov 07, 2019	53.919	53.873	53.960	53.787	92.20K	0.12%
Nov 06, 2019	53.853	53.797	53.985	53.766	86.16K	0.13%
Nov 05, 2019	53.785	53.828	53.949	53.730	100.90K	-0.06%
Nov 04, 2019	53.818	53.882	53.898	53.711	83.20K	-0.07%
Nov 01, 2019	53.853	53.920	54.065	53.618	78.65K	-0.13%
Oct 31, 2019	53.922	53.923	54.076	53.745	76.18K	0.02%
Oct 30, 2019	53.914	54.168	54.286	53.715	83.80K	-0.44%
Oct 29, 2019	54.152	54.190	54.337	54.110	86.17K	-0.07%
Oct 28, 2019	54.190	54.218	54.258	54.104	62.55K	-0.05%
Oct 25, 2019	54.219	54.292	54.383	54.148	75.24K	-0.12%
Oct 24, 2019	54.284	54.112	54.413	54.069	84.39K	0.33%
Oct 23, 2019	54.104	54.070	54.214	54.010	81.33K	0.06%
Oct 22, 2019	54.072	54.191	54.295	54.023	91.58K	-0.20%
